City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
124,Nikolskoye,RU,59.7035,30.7861,59.88,91,100,5.01,overcast clouds
125,Lahaina,US,20.8783,-156.6825,84.96,75,38,8.41,scattered clouds
126,Roald,NO,62.5833,6.1333,53.74,82,100,9.22,overcast clouds
127,Saint-Philippe,RE,-21.3585,55.7679,69.39,70,4,3.58,clear sky
128,Fortuna,US,40.5982,-124.1573,63.93,89,100,6.91,overcast clouds
129,Hastings,GB,50.8552,0.5729,59.52,77,36,6.06,scattered clouds
130,Bambous Virieux,MU,-20.3428,57.7575,70.21,78,70,9.19,light rain
131,Karratha,AU,-20.7377,116.8463,76.12,18,0,12.06,clear sky
132,Bubaque,GW,11.2833,-15.8333,76.46,91,100,11.81,moderate rain
133,Longyearbyen,SJ,78.2186,15.6401,48.04,93,75,6.91,broken clouds
134,Georgetown,MY,5.4112,100.3354,85.95,79,20,8.05,few clouds
135,Tadine,NC,-21.55,167.8833,77.5,68,19,6.13,few clouds
136,Sorland,NO,67.667,12.6934,51.66,82,100,22.24,overcast clouds
137,San-Pedro,CI,4.7485,-6.6363,71.85,79,21,4.59,few clouds
138,Portland,US,45.5234,-122.6762,84.18,44,20,8.05,few clouds
139,Tual,ID,-5.6667,132.75,80.6,79,99,13.27,overcast clouds
140,Ambovombe,MG,-25.1667,46.0833,61.7,86,2,3.29,clear sky
141,Slobozia,MD,46.7281,29.7078,72.14,59,1,4.03,clear sky
142,Grand Island,US,40.925,-98.342,77.23,86,75,11.5,broken clouds
143,Barrow,US,71.2906,-156.7887,39.22,81,20,6.91,few clouds
144,Clyde River,CA,70.4692,-68.5914,37.63,100,100,16.11,mist
145,Voh,NC,-20.9667,164.7,77.94,77,71,5.53,broken clouds
146,Rawson,AR,-43.3002,-65.1023,42.85,75,100,10.47,light rain
147,Saint-Francois,FR,46.4154,3.9054,53.67,76,0,0.0,clear sky
148,Pisco,PE,-13.7,-76.2167,59.05,88,20,4.61,few clouds
149,Klaksvik,FO,62.2266,-6.589,52.72,89,91,8.37,overcast clouds
150,Naze,JP,28.3667,129.4833,86.92,73,13,2.44,few clouds
151,Jutai,BR,-5.1833,-68.9,73.06,95,100,1.19,overcast clouds
152,Santiago,CL,-33.4569,-70.6483,49.28,79,100,9.22,light rain
153,Tilichiki,RU,60.4667,166.1,65.88,54,100,7.76,overcast clouds
154,Saldanha,ZA,-33.0117,17.9442,50.05,76,41,14.58,scattered clouds
155,Bakel,SN,14.905,-12.4568,77.34,85,100,5.86,light rain
156,Kununurra,AU,-15.7667,128.7333,93.18,26,22,6.91,few clouds
157,Marystown,CA,47.1666,-55.1483,60.85,100,84,5.55,broken clouds
158,Port Elizabeth,ZA,-33.918,25.5701,58.1,93,100,19.57,overcast clouds
159,Guerrero Negro,MX,27.9769,-114.0611,71.74,87,72,9.69,broken clouds
160,Campeche,MX,19.0,-90.5,72.03,99,100,2.55,overcast clouds
161,Kamenka,RU,51.3223,42.7678,71.76,47,94,7.36,overcast clouds
162,Hualmay,PE,-11.0964,-77.6139,60.89,87,89,9.78,overcast clouds
163,Meulaboh,ID,4.1363,96.1285,84.52,66,81,4.61,broken clouds
164,Yulara,AU,-25.2406,130.9889,67.28,22,0,10.71,clear sky
165,Adrar,MR,20.5022,-10.0711,92.14,27,1,8.39,clear sky
166,Colares,PT,38.7992,-9.4469,65.79,78,0,11.99,clear sky
167,Kahului,US,20.8947,-156.47,86.02,64,20,10.36,few clouds
