City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
97,Esperance,AU,61.29,broken clouds,-33.8667,121.9,Hospitality Esperance
99,Champasak,LA,77.88,moderate rain,14.75,106.0,Kiat Ngong Wetland BUNGALOW
100,Palmer,US,79.97,broken clouds,42.1584,-72.3287,Wedgewood Motel
102,Rayadrug,IN,73.72,overcast clouds,14.7,76.8667,Suresh Naik plot
104,San Felipe,VE,72.63,light rain,10.3399,-68.7425,Posada Llovizna Rodríguez
105,Halifax,CA,69.69,broken clouds,44.6453,-63.5724,Hotel Halifax
106,Marawi,PH,74.07,overcast clouds,7.9986,124.2928,Derogongan Residence
110,Arraial Do Cabo,BR,71.46,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
112,Itaueira,BR,74.28,clear sky,-7.6033,-43.0256,Pousada e Restaurante Cheiro e Sabor
118,Talara,PE,63.59,scattered clouds,-4.5772,-81.2719,Hostal Oro Negro
120,Nouadhibou,MR,73.38,broken clouds,20.931,-17.0347,El Medina
127,Saint-Philippe,RE,69.39,clear sky,-21.3585,55.7679,Le four à pain
128,Fortuna,US,63.93,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
130,Bambous Virieux,MU,70.21,light rain,-20.3428,57.7575,Casa Tia Villa
131,Karratha,AU,76.12,clear sky,-20.7377,116.8463,ibis Styles Karratha
132,Bubaque,GW,76.46,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
137,San-Pedro,CI,71.85,few clouds,4.7485,-6.6363,Hotel Maria
140,Ambovombe,MG,61.7,clear sky,-25.1667,46.0833,RELAHARA
141,Slobozia,MD,72.14,clear sky,46.7281,29.7078,Городской пляж Слободзеи
142,Grand Island,US,77.23,broken clouds,40.925,-98.342,Fairfield Inn & Suites by Marriott Grand Island
145,Voh,NC,77.94,broken clouds,-20.9667,164.7,Le gîte du Koniambo
155,Bakel,SN,77.34,light rain,14.905,-12.4568,Ablaye Diallo Bakel
157,Marystown,CA,60.85,broken clouds,47.1666,-55.1483,Marystown Hotel & Convention Centre
159,Guerrero Negro,MX,71.74,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
162,Hualmay,PE,60.89,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
164,Yulara,AU,67.28,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
166,Colares,PT,65.79,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
168,Mandalgovi,MN,70.66,overcast clouds,45.7625,106.2708,В.Ганбат
170,Rabo De Peixe,PT,71.11,scattered clouds,37.8,-25.5833,Quinta das Giestas
173,Miguel Hidalgo,MX,63.43,overcast clouds,19.4225,-99.2028,JW Marriott Hotel Mexico City
175,Senador Guiomard,BR,73.15,overcast clouds,-10.1522,-67.7392,Paraíso Hotel
179,North Platte,US,73.29,broken clouds,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
180,Anzhero-Sudzhensk,RU,74.53,clear sky,56.081,86.0285,"Hotel ""Anzherskaya"""
